City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
184,uniara,26.15,75.2167,32.51,20,0,5.56,IN,2023-04-03
185,bar-le-duc,48.75,5.1667,4.21,84,12,6.4,FR,2023-04-03
186,mahemdavad,22.8333,72.7667,31.14,18,0,4.43,IN,2023-04-03
187,lichinga,-13.3128,35.2406,19.05,100,75,2.57,MZ,2023-04-03
188,lorengau,-2.0226,147.2712,27.98,76,76,1.92,PG,2023-04-03
189,dikson,73.5069,80.5464,-27.06,90,100,5.16,RU,2023-04-03
190,san jeronimo,-11.9472,-75.2829,7.9,85,77,1.01,PE,2023-04-03
191,vao,-22.6667,167.4833,25.86,79,26,4.53,NC,2023-04-03
192,quang ngai,15.1167,108.8,30.19,71,5,5.27,VN,2023-04-03
193,faanui,-16.4833,-151.75,27.55,73,67,2.43,PF,2023-04-03
194,saint anthony,45.0205,-93.218,2.49,82,0,4.63,US,2023-04-03
195,nemuro,43.3236,145.575,2.84,62,0,2.81,JP,2023-04-03
196,sitka,57.0531,-135.33,3.94,81,100,7.72,US,2023-04-03
197,port alfred,-33.5906,26.891,20.1,84,100,2.24,ZA,2023-04-03
198,kavaratti,10.5669,72.642,28.12,67,65,4.71,IN,2023-04-03
199,jacareacanga,-6.2222,-57.7528,21.01,100,100,0.83,BR,2023-04-03
200,beringovskiy,63.05,179.3167,-7.56,93,99,6.41,RU,2023-04-03
201,champasak,14.75,106.0,36.49,25,52,2.35,LA,2023-04-03
202,necochea,-38.5473,-58.7368,15.03,73,16,2.2,AR,2023-04-03
203,olafsvik,64.8945,-23.7142,3.76,80,100,8.11,IS,2023-04-03
204,lavrentiya,65.5833,-171.0,-16.52,96,100,1.32,RU,2023-04-03
205,rafraf,37.1904,10.1837,14.18,73,28,12.0,TN,2023-04-03
206,dongsheng,39.8161,109.9776,-0.12,98,100,10.27,CN,2023-04-03
207,tuktoyaktuk,69.4541,-133.0374,-17.0,78,75,5.14,CA,2023-04-03
208,tema,5.667,-0.0166,27.6,71,51,2.77,GH,2023-04-03
209,lamar,33.6668,-95.5836,15.95,97,100,5.14,US,2023-04-03
210,taksimo,56.3444,114.8794,-6.77,62,100,5.28,RU,2023-04-03
211,hudson bay,52.85,-102.3842,-14.19,96,100,3.5,CA,2023-04-03
212,kaitangata,-46.2817,169.8464,10.31,84,85,1.74,NZ,2023-04-03
213,pincher creek,49.4833,-113.952,-1.91,91,100,3.09,CA,2023-04-03
214,birjand,32.8663,59.2211,17.26,8,0,4.12,IR,2023-04-03
215,zhigansk,66.7697,123.3711,-4.45,94,100,8.63,RU,2023-04-03
216,saint-augustin,51.226,-58.6502,-2.04,84,16,6.42,CA,2023-04-03
217,pelym,61.0108,61.9978,5.54,89,100,1.1,RU,2023-04-03
218,vardo,70.3705,31.1107,-5.01,93,0,13.38,NO,2023-04-03
219,kailua,21.4022,-157.7394,22.99,93,100,4.02,US,2023-04-03
220,vanavara,60.34,102.2797,-2.78,86,100,5.54,RU,2023-04-03
221,beidao,34.5686,105.8933,6.04,90,100,2.5,CN,2023-04-03
222,coria,39.9879,-6.5377,8.03,58,18,1.14,ES,2023-04-03
223,san buenaventura,27.0833,-101.5333,27.49,42,87,1.79,MX,2023-04-03
224,izhma,65.0083,53.9113,-4.93,76,23,2.96,RU,2023-04-03
225,mosquera,4.7059,-74.2302,11.05,82,40,2.06,CO,2023-04-03
226,gigmoto,13.7796,124.39,27.52,79,33,5.02,PH,2023-04-03
227,boa vista,2.8197,-60.6733,24.99,73,0,4.63,BR,2023-04-03
228,rapid valley,44.0625,-103.1463,3.54,40,100,4.63,US,2023-04-03
229,yulara,-25.2406,130.9889,31.65,24,0,1.98,AU,2023-04-03
230,longyan,25.1072,117.0225,23.37,69,94,2.3,CN,2023-04-03
231,kankaanpaa,61.8,22.4167,-4.58,88,6,2.44,FI,2023-04-03
232,hofn,64.2539,-15.2082,6.08,94,100,5.11,IS,2023-04-03
233,ratnagiri,16.9833,73.3,29.02,48,5,5.57,IN,2023-04-03
234,seryshevo,51.0933,128.3786,6.92,73,100,4.05,RU,2023-04-03
235,port hardy,50.6996,-127.4199,6.0,87,20,3.09,CA,2023-04-03
236,katsuura,35.1333,140.3,12.81,58,6,8.95,JP,2023-04-03
237,coracora,-15.0333,-73.7833,10.44,85,91,0.43,PE,2023-04-03
238,skibbereen,51.55,-9.2667,10.06,91,100,7.13,IE,2023-04-03
239,ovalle,-30.5983,-71.2003,20.07,50,0,0.63,CL,2023-04-03
240,nuevo progreso,23.1667,-97.95,23.83,72,91,2.56,MX,2023-04-03
241,naze,28.3667,129.4833,18.7,70,2,9.41,JP,2023-04-03
242,sayan,-11.1361,-77.1933,22.18,88,100,1.45,PE,2023-04-03
243,salalah,17.0151,54.0924,32.05,51,75,3.6,OM,2023-04-03
244,bikapur,26.6,82.1333,34.08,23,0,5.83,IN,2023-04-03
245,kamina,-8.7386,24.9906,20.74,87,100,0.6,CD,2023-04-03
246,namibe,-15.1961,12.1522,24.07,73,19,2.37,AO,2023-04-03
247,hamilton,39.1834,-84.5333,7.77,81,40,2.57,US,2023-04-03
248,castlecomer,52.8061,-7.2106,8.03,91,100,3.47,IE,2023-04-03
249,guerrero negro,27.9769,-114.0611,13.49,81,52,6.42,MX,2023-04-03
250,beloha,-25.1667,45.05,27.61,59,25,4.48,MG,2023-04-03
251,nola,40.922,14.5329,16.06,87,100,4.66,IT,2023-04-03
252,tias,28.9611,-13.645,15.82,77,20,6.69,ES,2023-04-03
253,surok,56.4469,48.1214,8.79,59,100,2.54,RU,2023-04-03
254,marabba,12.35,32.1833,31.07,7,17,5.86,SD,2023-04-03
255,karratha,-20.7377,116.8463,31.86,54,79,6.09,AU,2023-04-03
256,kanniyakumari,8.0833,77.5667,30.24,65,91,5.98,IN,2023-04-03
257,juba,4.8517,31.5825,31.9,40,24,1.95,SS,2023-04-03
258,sept-iles,50.2001,-66.3821,-10.53,60,40,7.72,CA,2023-04-03
259,dzaoudzi,-12.7887,45.2699,30.94,70,75,2.57,YT,2023-04-03
260,bacum,27.55,-110.0833,16.64,34,29,0.8,MX,2023-04-03
261,isangel,-19.55,169.2667,27.61,81,27,2.24,VU,2023-04-03
262,requena,39.4883,-1.1004,4.88,59,0,2.63,ES,2023-04-03
263,talara,-4.5772,-81.2719,26.01,84,100,2.81,PE,2023-04-03
264,jijiga,9.35,42.8,22.31,59,86,4.32,ET,2023-04-03
265,manta,-0.95,-80.7333,25.52,84,100,1.99,EC,2023-04-03
266,mitsamiouli,-11.3847,43.2844,28.34,71,73,0.35,KM,2023-04-03
267,colwyn bay,53.2948,-3.7267,4.92,80,6,4.69,GB,2023-04-03
268,emba,48.8264,58.1442,9.43,30,100,5.86,KZ,2023-04-03
269,newport,51.5877,-2.9984,4.51,87,5,4.32,GB,2023-04-03
270,souillac,-20.5167,57.5167,29.21,74,40,5.66,MU,2023-04-03
271,east london,-33.0153,27.9116,21.52,83,0,3.09,ZA,2023-04-03
272,baykit,61.67,96.37,-0.86,91,100,4.36,RU,2023-04-03
273,rio bueno,-40.3167,-72.9667,2.84,97,0,0.57,CL,2023-04-03
274,rocha,-34.4833,-54.3333,15.16,82,100,1.91,UY,2023-04-03
275,linqiong,30.4159,103.4609,21.9,87,100,1.27,CN,2023-04-03
276,lodwar,3.1191,35.5973,30.6,46,73,5.53,KE,2023-04-03
277,genhe,50.7833,121.5167,-1.08,55,100,6.89,CN,2023-04-03
278,faya,18.3851,42.4509,20.06,37,100,3.8,SA,2023-04-03
279,donghai,22.9459,115.642,21.97,76,100,3.51,CN,2023-04-03
280,waipawa,-41.4122,175.5153,10.87,77,85,3.51,NZ,2023-04-03
281,aklavik,68.2191,-135.0107,-16.86,97,100,3.28,CA,2023-04-03
282,san juan,-31.5375,-68.5364,19.36,70,0,4.9,AR,2023-04-03
283,mount gambier,-37.8333,140.7667,17.09,59,5,3.8,AU,2023-04-03
284,lugus,5.7036,120.8203,27.9,77,82,5.19,PH,2023-04-03
285,bridlington,54.0831,-0.1919,4.18,70,6,3.79,GB,2023-04-03
286,la seyne-sur-mer,43.0982,5.8847,13.07,74,9,0.89,FR,2023-04-03
287,raudeberg,61.9875,5.1352,6.59,71,100,6.71,NO,2023-04-03
288,gusau,12.1628,6.6614,25.93,11,80,4.11,NG,2023-04-03
289,itarema,-2.9248,-39.9167,22.6,90,89,1.92,BR,2023-04-03
290,nouadhibou,20.931,-17.0347,20.99,68,6,7.72,MR,2023-04-03
291,kelowna,49.8831,-119.4857,2.64,69,0,1.03,CA,2023-04-03
292,dubai,25.2582,55.3047,24.16,46,20,7.2,AE,2023-04-03
293,deputatskiy,69.3,139.9,-11.48,87,100,2.01,RU,2023-04-03
294,kashi,39.4547,75.9797,19.56,11,92,5.0,CN,2023-04-03
295,sorland,67.667,12.6934,4.92,87,75,7.2,NO,2023-04-03
296,sao filipe,14.8961,-24.4956,22.82,77,11,3.4,CV,2023-04-03
297,vestmannaeyjar,63.4427,-20.2734,7.13,93,100,13.9,IS,2023-04-03
298,laguna,38.421,-121.4238,9.08,78,0,1.34,US,2023-04-03
299,olbia,40.9214,9.4856,15.03,67,20,5.14,IT,2023-04-03
300,iskateley,67.6803,53.1512,-7.05,86,15,2.16,RU,2023-04-03
301,vanimo,-2.6741,141.3028,27.38,82,73,1.75,PG,2023-04-03
302,anadyr,64.75,177.4833,-17.72,85,40,6.0,RU,2023-04-03
303,bud,39.447,-86.1758,9.34,75,100,3.89,US,2023-04-03
304,pyay,18.8167,95.2167,37.97,23,65,2.14,MM,2023-04-03
305,madang,-5.2246,145.7966,26.7,87,100,3.31,PG,2023-04-03
306,longyearbyen,78.2186,15.6401,-9.09,86,100,9.26,SJ,2023-04-03
307,mabaruma,8.2,-59.7833,21.54,99,100,1.01,GY,2023-04-03
